Year,GDP per capita
2023,2484.85
2022,2366.31
2021,2250.18
2020,1915.55
2019,2050.16
2018,1974.38
2017,1957.97
2016,1714.28
2015,1590.17
2014,1559.86
2013,1438.06
2012,1434.02
2011,1449.60
2010,1350.63
2009,1096.64
2008,993.50
2007,1022.73
2006,802.01
2005,710.51
2004,624.11
2003,543.85
2002,468.85
2001,449.91
2000,442.04
1999,440.96
1998,412.51
1997,414.90
1996,399.58
1995,373.63
1994,346.23
1993,301.50
1992,317.56
1991,303.85
1990,368.75
1989,347.46
1988,355.74
1987,342.07
1986,312.06
1985,298.00
1984,278.10
1983,292.64
1982,275.27
1981,271.43
1980,267.40
1979,224.58
1978,206.08
1977,186.42
1976,161.14
1975,157.93
1974,163.23
1973,143.46
1972,122.62
1971,118.16
1970,111.97
1969,107.18
1968,99.52
1967,96.05
1966,89.20
1965,119.09
1964,115.49
1963,101.32
1962,90.28
1961,85.97
1960,83.04
